team_x,mp_10_x,fg_10_x,fga_10_x,fg%_10_x,3p_10_x,3pa_10_x,3p%_10_x,ft_10_x,fta_10_x,ft%_10_x,orb_10_x,drb_10_x,trb_10_x,ast_10_x,stl_10_x,blk_10_x,tov_10_x,pf_10_x,pts_10_x,ts%_10_x,efg%_10_x,3par_10_x,ftr_10_x,orb%_10_x,drb%_10_x,trb%_10_x,ast%_10_x,stl%_10_x,blk%_10_x,tov%_10_x,usg%_10_x,ortg_10_x,drtg_10_x,fg_max_10_x,fga_max_10_x,fg%_max_10_x,3p_max_10_x,3pa_max_10_x,3p%_max_10_x,ft_max_10_x,fta_max_10_x,ft%_max_10_x,orb_max_10_x,drb_max_10_x,trb_max_10_x,ast_max_10_x,stl_max_10_x,blk_max_10_x,tov_max_10_x,pf_max_10_x,pts_max_10_x,+/-_max_10_x,ts%_max_10_x,efg%_max_10_x,3par_max_10_x,ftr_max_10_x,orb%_max_10_x,drb%_max_10_x,trb%_max_10_x,ast%_max_10_x,stl%_max_10_x,blk%_max_10_x,tov%_max_10_x,usg%_max_10_x,ortg_max_10_x,drtg_max_10_x,total_10_x,home_10_x,won_10_x,team_opp_next_x,mp_10_y,fg_10_y,fga_10_y,fg%_10_y,3p_10_y,3pa_10_y,3p%_10_y,ft_10_y,fta_10_y,ft%_10_y,orb_10_y,drb_10_y,trb_10_y,ast_10_y,stl_10_y,blk_10_y,tov_10_y,pf_10_y,pts_10_y,ts%_10_y,efg%_10_y,3par_10_y,ftr_10_y,orb%_10_y,drb%_10_y,trb%_10_y,ast%_10_y,stl%_10_y,blk%_10_y,tov%_10_y,usg%_10_y,ortg_10_y,drtg_10_y,fg_max_10_y,fga_max_10_y,fg%_max_10_y,3p_max_10_y,3pa_max_10_y,3p%_max_10_y,ft_max_10_y,fta_max_10_y,ft%_max_10_y,orb_max_10_y,drb_max_10_y,trb_max_10_y,ast_max_10_y,stl_max_10_y,blk_max_10_y,tov_max_10_y,pf_max_10_y,pts_max_10_y,+/-_max_10_y,ts%_max_10_y,efg%_max_10_y,3par_max_10_y,ftr_max_10_y,orb%_max_10_y,drb%_max_10_y,trb%_max_10_y,ast%_max_10_y,stl%_max_10_y,blk%_max_10_y,tov%_max_10_y,usg%_max_10_y,ortg_max_10_y,drtg_max_10_y,total_10_y,home_10_y,team_opp_next_y,team_y,home_next,date_next,season
CLE,0.025,0.5295454545454545,0.386764705882353,0.5363636363636362,0.4344827586206896,0.406060606060606,0.4868171021377672,0.3976744186046511,0.3396825396825397,0.7697782963827304,0.3464285714285714,0.4325,0.4285714285714285,0.4232558139534884,0.3454545454545454,0.3350000000000001,0.4827586206896551,0.486111111111111,0.4932692307692307,0.5699373695198329,0.5493123772102161,0.4828125,0.3187657430730478,0.4826666666666666,0.5070476190476191,0.5264864864864864,0.544062947067239,0.3557603686635945,0.3353246753246753,0.4682835820895523,0.0,0.5418221734357848,0.5095499451152579,0.4333333333333333,0.3452380952380952,0.7476923076923078,0.3571428571428571,0.3608695652173913,0.8065,0.312,0.2457142857142857,1.0,0.2846153846153846,0.2199999999999999,0.2384615384615385,0.308695652173913,0.27,0.2363636363636364,0.3636363636363636,0.7,0.42,0.4106666666666667,0.4983999999999999,0.5449676823638042,0.947875,0.0666116414268284,0.2143,0.2010778443113772,0.1818481848184818,0.2298165137614679,0.0495,0.1045,0.4454926624737945,0.1378690629011553,0.4042654028436019,0.5505882352941176,0.4932692307692307,0.6,0,POR,0.025,0.5295454545454545,0.386764705882353,0.5363636363636362,0.4344827586206896,0.406060606060606,0.4868171021377672,0.3976744186046511,0.3396825396825397,0.7697782963827304,0.3464285714285714,0.4325,0.4285714285714285,0.4232558139534884,0.3454545454545454,0.3350000000000001,0.4827586206896551,0.486111111111111,0.4932692307692307,0.5699373695198329,0.5493123772102161,0.4828125,0.3187657430730478,0.4826666666666666,0.5070476190476191,0.5264864864864864,0.544062947067239,0.3557603686635945,0.3353246753246753,0.4682835820895523,0.0,0.5418221734357848,0.5095499451152579,0.4333333333333333,0.3452380952380952,0.7476923076923078,0.3571428571428571,0.3608695652173913,0.8065,0.312,0.2457142857142857,1.0,0.2846153846153846,0.2199999999999999,0.2384615384615385,0.308695652173913,0.27,0.2363636363636364,0.3636363636363636,0.7,0.42,0.4106666666666667,0.4983999999999999,0.5449676823638042,0.947875,0.0666116414268284,0.2143,0.2010778443113772,0.1818481848184818,0.2298165137614679,0.0495,0.1045,0.4454926624737945,0.1378690629011553,0.4042654028436019,0.5505882352941176,0.4932692307692307,0.6,CLE,POR,1,2023-12-01,2023
POR,0.025,0.5295454545454545,0.386764705882353,0.5363636363636362,0.4344827586206896,0.406060606060606,0.4868171021377672,0.3976744186046511,0.3396825396825397,0.7697782963827304,0.3464285714285714,0.4325,0.4285714285714285,0.4232558139534884,0.3454545454545454,0.3350000000000001,0.4827586206896551,0.486111111111111,0.4932692307692307,0.5699373695198329,0.5493123772102161,0.4828125,0.3187657430730478,0.4826666666666666,0.5070476190476191,0.5264864864864864,0.544062947067239,0.3557603686635945,0.3353246753246753,0.4682835820895523,0.0,0.5418221734357848,0.5095499451152579,0.4333333333333333,0.3452380952380952,0.7476923076923078,0.3571428571428571,0.3608695652173913,0.8065,0.312,0.2457142857142857,1.0,0.2846153846153846,0.2199999999999999,0.2384615384615385,0.308695652173913,0.27,0.2363636363636364,0.3636363636363636,0.7,0.42,0.4106666666666667,0.4983999999999999,0.5449676823638042,0.947875,0.0666116414268284,0.2143,0.2010778443113772,0.1818481848184818,0.2298165137614679,0.0495,0.1045,0.4454926624737945,0.1378690629011553,0.4042654028436019,0.5505882352941176,0.4932692307692307,0.6,0,CLE,0.025,0.5295454545454545,0.386764705882353,0.5363636363636362,0.4344827586206896,0.406060606060606,0.4868171021377672,0.3976744186046511,0.3396825396825397,0.7697782963827304,0.3464285714285714,0.4325,0.4285714285714285,0.4232558139534884,0.3454545454545454,0.3350000000000001,0.4827586206896551,0.486111111111111,0.4932692307692307,0.5699373695198329,0.5493123772102161,0.4828125,0.3187657430730478,0.4826666666666666,0.5070476190476191,0.5264864864864864,0.544062947067239,0.3557603686635945,0.3353246753246753,0.4682835820895523,0.0,0.5418221734357848,0.5095499451152579,0.4333333333333333,0.3452380952380952,0.7476923076923078,0.3571428571428571,0.3608695652173913,0.8065,0.312,0.2457142857142857,1.0,0.2846153846153846,0.2199999999999999,0.2384615384615385,0.308695652173913,0.27,0.2363636363636364,0.3636363636363636,0.7,0.42,0.4106666666666667,0.4983999999999999,0.5449676823638042,0.947875,0.0666116414268284,0.2143,0.2010778443113772,0.1818481848184818,0.2298165137614679,0.0495,0.1045,0.4454926624737945,0.1378690629011553,0.4042654028436019,0.5505882352941176,0.4932692307692307,0.6,POR,CLE,0,2023-12-01,2023
BKN,0.025,0.5295454545454545,0.386764705882353,0.5363636363636362,0.4344827586206896,0.406060606060606,0.4868171021377672,0.3976744186046511,0.3396825396825397,0.7697782963827304,0.3464285714285714,0.4325,0.4285714285714285,0.4232558139534884,0.3454545454545454,0.3350000000000001,0.4827586206896551,0.486111111111111,0.4932692307692307,0.5699373695198329,0.5493123772102161,0.4828125,0.3187657430730478,0.4826666666666666,0.5070476190476191,0.5264864864864864,0.544062947067239,0.3557603686635945,0.3353246753246753,0.4682835820895523,0.0,0.5418221734357848,0.5095499451152579,0.4333333333333333,0.3452380952380952,0.7476923076923078,0.3571428571428571,0.3608695652173913,0.8065,0.312,0.2457142857142857,1.0,0.2846153846153846,0.2199999999999999,0.2384615384615385,0.308695652173913,0.27,0.2363636363636364,0.3636363636363636,0.7,0.42,0.4106666666666667,0.4983999999999999,0.5449676823638042,0.947875,0.0666116414268284,0.2143,0.2010778443113772,0.1818481848184818,0.2298165137614679,0.0495,0.1045,0.4454926624737945,0.1378690629011553,0.4042654028436019,0.5505882352941176,0.4932692307692307,0.6,0,CHA,0.025,0.5295454545454545,0.386764705882353,0.5363636363636362,0.4344827586206896,0.406060606060606,0.4868171021377672,0.3976744186046511,0.3396825396825397,0.7697782963827304,0.3464285714285714,0.4325,0.4285714285714285,0.4232558139534884,0.3454545454545454,0.3350000000000001,0.4827586206896551,0.486111111111111,0.4932692307692307,0.5699373695198329,0.5493123772102161,0.4828125,0.3187657430730478,0.4826666666666666,0.5070476190476191,0.5264864864864864,0.544062947067239,0.3557603686635945,0.3353246753246753,0.4682835820895523,0.0,0.5418221734357848,0.5095499451152579,0.4333333333333333,0.3452380952380952,0.7476923076923078,0.3571428571428571,0.3608695652173913,0.8065,0.312,0.2457142857142857,1.0,0.2846153846153846,0.2199999999999999,0.2384615384615385,0.308695652173913,0.27,0.2363636363636364,0.3636363636363636,0.7,0.42,0.4106666666666667,0.4983999999999999,0.5449676823638042,0.947875,0.0666116414268284,0.2143,0.2010778443113772,0.1818481848184818,0.2298165137614679,0.0495,0.1045,0.4454926624737945,0.1378690629011553,0.4042654028436019,0.5505882352941176,0.4932692307692307,0.6,BKN,CHA,1,2023-12-01,2023
CHA,0.025,0.5295454545454545,0.386764705882353,0.5363636363636362,0.4344827586206896,0.406060606060606,0.4868171021377672,0.3976744186046511,0.3396825396825397,0.7697782963827304,0.3464285714285714,0.4325,0.4285714285714285,0.4232558139534884,0.3454545454545454,0.3350000000000001,0.4827586206896551,0.486111111111111,0.4932692307692307,0.5699373695198329,0.5493123772102161,0.4828125,0.3187657430730478,0.4826666666666666,0.5070476190476191,0.5264864864864864,0.544062947067239,0.3557603686635945,0.3353246753246753,0.4682835820895523,0.0,0.5418221734357848,0.5095499451152579,0.4333333333333333,0.3452380952380952,0.7476923076923078,0.3571428571428571,0.3608695652173913,0.8065,0.312,0.2457142857142857,1.0,0.2846153846153846,0.2199999999999999,0.2384615384615385,0.308695652173913,0.27,0.2363636363636364,0.3636363636363636,0.7,0.42,0.4106666666666667,0.4983999999999999,0.5449676823638042,0.947875,0.0666116414268284,0.2143,0.2010778443113772,0.1818481848184818,0.2298165137614679,0.0495,0.1045,0.4454926624737945,0.1378690629011553,0.4042654028436019,0.5505882352941176,0.4932692307692307,0.6,0,BKN,0.025,0.5295454545454545,0.386764705882353,0.5363636363636362,0.4344827586206896,0.406060606060606,0.4868171021377672,0.3976744186046511,0.3396825396825397,0.7697782963827304,0.3464285714285714,0.4325,0.4285714285714285,0.4232558139534884,0.3454545454545454,0.3350000000000001,0.4827586206896551,0.486111111111111,0.4932692307692307,0.5699373695198329,0.5493123772102161,0.4828125,0.3187657430730478,0.4826666666666666,0.5070476190476191,0.5264864864864864,0.544062947067239,0.3557603686635945,0.3353246753246753,0.4682835820895523,0.0,0.5418221734357848,0.5095499451152579,0.4333333333333333,0.3452380952380952,0.7476923076923078,0.3571428571428571,0.3608695652173913,0.8065,0.312,0.2457142857142857,1.0,0.2846153846153846,0.2199999999999999,0.2384615384615385,0.308695652173913,0.27,0.2363636363636364,0.3636363636363636,0.7,0.42,0.4106666666666667,0.4983999999999999,0.5449676823638042,0.947875,0.0666116414268284,0.2143,0.2010778443113772,0.1818481848184818,0.2298165137614679,0.0495,0.1045,0.4454926624737945,0.1378690629011553,0.4042654028436019,0.5505882352941176,0.4932692307692307,0.6,CHA,BKN,0,2023-12-01,2023
MIA,0.0,0.4045454545454545,0.3676470588235294,0.3956937799043061,0.3482758620689655,0.453030303030303,0.3576009501187648,0.3744186046511627,0.3158730158730158,0.7707117852975496,0.3785714285714285,0.345,0.3755102040816326,0.313953488372093,0.4045454545454545,0.205,0.3793103448275862,0.4194444444444444,0.3538461538461538,0.431732776617954,0.4086444007858547,0.55296875,0.3012594458438287,0.4577142857142857,0.6043809523809525,0.4964864864864865,0.498140200286123,0.4423963133640553,0.2483116883116883,0.3847014925373134,0.0,0.4432491767288692,0.4675082327113061,0.4095238095238095,0.3047619047619047,0.7564615384615385,0.25,0.3347826086956521,0.6704000000000001,0.2719999999999999,0.2342857142857142,0.9041666666666668,0.2769230769230769,0.2,0.2153846153846154,0.1652173913043478,0.27,0.1545454545454545,0.2181818181818181,0.6,0.3616666666666667,0.4293333333333334,0.4492,0.4844875346260388,0.8856249999999999,0.0637407593483097,0.2416999999999999,0.3591616766467066,0.1973597359735973,0.2362385321100917,0.0655,0.0849,0.361111111111111,0.1467265725288831,0.3848341232227489,0.5070588235294118,0.3538461538461538,0.4,1,IND,0.025,0.5295454545454545,0.386764705882353,0.5363636363636362,0.4344827586206896,0.406060606060606,0.4868171021377672,0.3976744186046511,0.3396825396825397,0.7697782963827304,0.3464285714285714,0.4325,0.4285714285714285,0.4232558139534884,0.3454545454545454,0.3350000000000001,0.4827586206896551,0.486111111111111,0.4932692307692307,0.5699373695198329,0.5493123772102161,0.4828125,0.3187657430730478,0.4826666666666666,0.5070476190476191,0.5264864864864864,0.544062947067239,0.3557603686635945,0.3353246753246753,0.4682835820895523,0.0,0.5418221734357848,0.5095499451152579,0.4333333333333333,0.3452380952380952,0.7476923076923078,0.3571428571428571,0.3608695652173913,0.8065,0.312,0.2457142857142857,1.0,0.2846153846153846,0.2199999999999999,0.2384615384615385,0.308695652173913,0.27,0.2363636363636364,0.3636363636363636,0.7,0.42,0.4106666666666667,0.4983999999999999,0.5449676823638042,0.947875,0.0666116414268284,0.2143,0.2010778443113772,0.1818481848184818,0.2298165137614679,0.0495,0.1045,0.4454926624737945,0.1378690629011553,0.4042654028436019,0.5505882352941176,0.4932692307692307,0.6,MIA,IND,1,2023-12-01,2023
IND,0.025,0.5295454545454545,0.386764705882353,0.5363636363636362,0.4344827586206896,0.406060606060606,0.4868171021377672,0.3976744186046511,0.3396825396825397,0.7697782963827304,0.3464285714285714,0.4325,0.4285714285714285,0.4232558139534884,0.3454545454545454,0.3350000000000001,0.4827586206896551,0.486111111111111,0.4932692307692307,0.5699373695198329,0.5493123772102161,0.4828125,0.3187657430730478,0.4826666666666666,0.5070476190476191,0.5264864864864864,0.544062947067239,0.3557603686635945,0.3353246753246753,0.4682835820895523,0.0,0.5418221734357848,0.5095499451152579,0.4333333333333333,0.3452380952380952,0.7476923076923078,0.3571428571428571,0.3608695652173913,0.8065,0.312,0.2457142857142857,1.0,0.2846153846153846,0.2199999999999999,0.2384615384615385,0.308695652173913,0.27,0.2363636363636364,0.3636363636363636,0.7,0.42,0.4106666666666667,0.4983999999999999,0.5449676823638042,0.947875,0.0666116414268284,0.2143,0.2010778443113772,0.1818481848184818,0.2298165137614679,0.0495,0.1045,0.4454926624737945,0.1378690629011553,0.4042654028436019,0.5505882352941176,0.4932692307692307,0.6,0,MIA,0.0,0.4045454545454545,0.3676470588235294,0.3956937799043061,0.3482758620689655,0.453030303030303,0.3576009501187648,0.3744186046511627,0.3158730158730158,0.7707117852975496,0.3785714285714285,0.345,0.3755102040816326,0.313953488372093,0.4045454545454545,0.205,0.3793103448275862,0.4194444444444444,0.3538461538461538,0.431732776617954,0.4086444007858547,0.55296875,0.3012594458438287,0.4577142857142857,0.6043809523809525,0.4964864864864865,0.498140200286123,0.4423963133640553,0.2483116883116883,0.3847014925373134,0.0,0.4432491767288692,0.4675082327113061,0.4095238095238095,0.3047619047619047,0.7564615384615385,0.25,0.3347826086956521,0.6704000000000001,0.2719999999999999,0.2342857142857142,0.9041666666666668,0.2769230769230769,0.2,0.2153846153846154,0.1652173913043478,0.27,0.1545454545454545,0.2181818181818181,0.6,0.3616666666666667,0.4293333333333334,0.4492,0.4844875346260388,0.8856249999999999,0.0637407593483097,0.2416999999999999,0.3591616766467066,0.1973597359735973,0.2362385321100917,0.0655,0.0849,0.361111111111111,0.1467265725288831,0.3848341232227489,0.5070588235294118,0.3538461538461538,0.4,IND,MIA,0,2023-12-01,2023
NYK,0.025,0.5295454545454545,0.386764705882353,0.5363636363636362,0.4344827586206896,0.406060606060606,0.4868171021377672,0.3976744186046511,0.3396825396825397,0.7697782963827304,0.3464285714285714,0.4325,0.4285714285714285,0.4232558139534884,0.3454545454545454,0.3350000000000001,0.4827586206896551,0.486111111111111,0.4932692307692307,0.5699373695198329,0.5493123772102161,0.4828125,0.3187657430730478,0.4826666666666666,0.5070476190476191,0.5264864864864864,0.544062947067239,0.3557603686635945,0.3353246753246753,0.4682835820895523,0.0,0.5418221734357848,0.5095499451152579,0.4333333333333333,0.3452380952380952,0.7476923076923078,0.3571428571428571,0.3608695652173913,0.8065,0.312,0.2457142857142857,1.0,0.2846153846153846,0.2199999999999999,0.2384615384615385,0.308695652173913,0.27,0.2363636363636364,0.3636363636363636,0.7,0.42,0.4106666666666667,0.4983999999999999,0.5449676823638042,0.947875,0.0666116414268284,0.2143,0.2010778443113772,0.1818481848184818,0.2298165137614679,0.0495,0.1045,0.4454926624737945,0.1378690629011553,0.4042654028436019,0.5505882352941176,0.4932692307692307,0.6,0,DET,0.025,0.5295454545454545,0.386764705882353,0.5363636363636362,0.4344827586206896,0.406060606060606,0.4868171021377672,0.3976744186046511,0.3396825396825397,0.7697782963827304,0.3464285714285714,0.4325,0.4285714285714285,0.4232558139534884,0.3454545454545454,0.3350000000000001,0.4827586206896551,0.486111111111111,0.4932692307692307,0.5699373695198329,0.5493123772102161,0.4828125,0.3187657430730478,0.4826666666666666,0.5070476190476191,0.5264864864864864,0.544062947067239,0.3557603686635945,0.3353246753246753,0.4682835820895523,0.0,0.5418221734357848,0.5095499451152579,0.4333333333333333,0.3452380952380952,0.7476923076923078,0.3571428571428571,0.3608695652173913,0.8065,0.312,0.2457142857142857,1.0,0.2846153846153846,0.2199999999999999,0.2384615384615385,0.308695652173913,0.27,0.2363636363636364,0.3636363636363636,0.7,0.42,0.4106666666666667,0.4983999999999999,0.5449676823638042,0.947875,0.0666116414268284,0.2143,0.2010778443113772,0.1818481848184818,0.2298165137614679,0.0495,0.1045,0.4454926624737945,0.1378690629011553,0.4042654028436019,0.5505882352941176,0.4932692307692307,0.6,NYK,DET,1,2023-12-01,2023
DET,0.025,0.5295454545454545,0.386764705882353,0.5363636363636362,0.4344827586206896,0.406060606060606,0.4868171021377672,0.3976744186046511,0.3396825396825397,0.7697782963827304,0.3464285714285714,0.4325,0.4285714285714285,0.4232558139534884,0.3454545454545454,0.3350000000000001,0.4827586206896551,0.486111111111111,0.4932692307692307,0.5699373695198329,0.5493123772102161,0.4828125,0.3187657430730478,0.4826666666666666,0.5070476190476191,0.5264864864864864,0.544062947067239,0.3557603686635945,0.3353246753246753,0.4682835820895523,0.0,0.5418221734357848,0.5095499451152579,0.4333333333333333,0.3452380952380952,0.7476923076923078,0.3571428571428571,0.3608695652173913,0.8065,0.312,0.2457142857142857,1.0,0.2846153846153846,0.2199999999999999,0.2384615384615385,0.308695652173913,0.27,0.2363636363636364,0.3636363636363636,0.7,0.42,0.4106666666666667,0.4983999999999999,0.5449676823638042,0.947875,0.0666116414268284,0.2143,0.2010778443113772,0.1818481848184818,0.2298165137614679,0.0495,0.1045,0.4454926624737945,0.1378690629011553,0.4042654028436019,0.5505882352941176,0.4932692307692307,0.6,0,NYK,0.025,0.5295454545454545,0.386764705882353,0.5363636363636362,0.4344827586206896,0.406060606060606,0.4868171021377672,0.3976744186046511,0.3396825396825397,0.7697782963827304,0.3464285714285714,0.4325,0.4285714285714285,0.4232558139534884,0.3454545454545454,0.3350000000000001,0.4827586206896551,0.486111111111111,0.4932692307692307,0.5699373695198329,0.5493123772102161,0.4828125,0.3187657430730478,0.4826666666666666,0.5070476190476191,0.5264864864864864,0.544062947067239,0.3557603686635945,0.3353246753246753,0.4682835820895523,0.0,0.5418221734357848,0.5095499451152579,0.4333333333333333,0.3452380952380952,0.7476923076923078,0.3571428571428571,0.3608695652173913,0.8065,0.312,0.2457142857142857,1.0,0.2846153846153846,0.2199999999999999,0.2384615384615385,0.308695652173913,0.27,0.2363636363636364,0.3636363636363636,0.7,0.42,0.4106666666666667,0.4983999999999999,0.5449676823638042,0.947875,0.0666116414268284,0.2143,0.2010778443113772,0.1818481848184818,0.2298165137614679,0.0495,0.1045,0.4454926624737945,0.1378690629011553,0.4042654028436019,0.5505882352941176,0.4932692307692307,0.6,DET,NYK,0,2023-12-01,2023
